customer,location,rocket
Airbus ,Vandenberg,Falcon 9
Asia Broadcast Satellite/EutelSat,Cape Canaveral,Falcon 9
Bigelow Aerospace,Cape Canaveral,Falcon 9
Bulgaria Sat,Cape Canaveral,Falcon 9
CONAE (Argentina),Vandenberg,Falcon 9
CONAE (Argentina),Vandenberg,Falcon 9
DragonLab Mission 1,Cape Canaveral,"Dragon,Falcon 9"
DragonLab Mission 2,Cape Canaveral,"Dragon,Falcon 9"
Es'hailsat,Cape Canaveral,Falcon 9
Falcon Heavy Demo,Cape Canaveral,Falcon Heavy
Inmarsat,Cape Canaveral,Falcon 9
Inmarsat ,Cape Canaveral,Falcon Heavy
Intelsat,Cape Canaveral,Falcon Heavy
Iridium – Flight 1,Vandenberg,Falcon 9
Iridium – Flight 2,Vandenberg,Falcon 9
Iridium – Flight 3,Vandenberg,Falcon 9
Iridium – Flight 4,Vandenberg,Falcon 9
Iridium – Flight 5,Vandenberg,Falcon 9
Iridium – Flight 6,Vandenberg,Falcon 9
Iridium – Flight 7,Vandenberg,Falcon 9
Jason-3 for NASA,Vandenberg,Falcon 9
Koreasat ,Cape Canaveral,Falcon 9
NASA Resupply to ISS – Flight 7,Cape Canaveral,"Dragon,Falcon 9"
NASA Resupply to ISS – Flight 8,Cape Canaveral,"Dragon,Falcon 9"
NASA Resupply to ISS – Flight 9,Cape Canaveral,"Dragon,Falcon 9"
NASA Resupply to ISS – Flight 10,Cape Canaveral,"Dragon,Falcon 9"
NASA Resupply to ISS – Flight 11,Cape Canaveral,"Dragon,Falcon 9"
NASA Resupply to ISS – Flight 12,Cape Canaveral,"Dragon,Falcon 9"
NSPO (Taiwan),Vandenberg,Falcon 9
OHB System AG,Vandenberg,Falcon 9
ORBCOMM ,Cape Canaveral,Falcon 9
Radarsat,Vandenberg,Falcon 9
SES,Cape Canaveral,Falcon 9
SES (Europe),Cape Canaveral,Falcon 9
SKY Perfect JSAT Corporation (Japan),Cape Canaveral,Falcon 9
Sky Perfect JSAT Corporation,Cape Canaveral,Falcon 9
STP-2 US Air Force,Cape Canaveral,Falcon Heavy
Spacecom (Israel),Cape Canaveral,Falcon 9
TESS for NASA  ,Cape Canaveral,Falcon 9
Thaicom ,Cape Canaveral,Falcon 9
ViaSat,Cape Canaveral,Falcon Heavy
